uid,iid
173,4759
4,4760
8,4760
53,4760
60,4760
61,4760
132,4760
136,4760
165,4760
170,4760
182,4760
54,4761
179,4762
4,4763
91,4763
143,4763
78,4764
117,4764
19,4765
30,4765
49,4765
65,4765
116,4765
117,4765
143,4765
175,4765
117,4766
117,4767
117,4768
3,4769
11,4769
12,4769
14,4769
33,4769
65,4769
94,4769
97,4769
117,4769
121,4769
134,4769
144,4769
178,4769
11,4770
17,4770
39,4770
47,4770
55,4770
73,4770
79,4770
81,4770
148,4770
183,4770
28,4771
36,4771
39,4771
78,4771
115,4771
125,4771
127,4771
130,4771
175,4771
177,4771
136,4772
170,4773
182,4773
143,4774
170,4774
117,4775
117,4776
4,4777
18,4777
53,4777
69,4777
74,4777
91,4777
95,4777
112,4777
117,4777
136,4777
143,4777
145,4777
182,4777
4,4778
60,4778
69,4778
91,4778
117,4778
136,4778
145,4778
117,4779
117,4780
117,4781
133,4781
9,4782
150,4782
117,4783
69,4784
91,4784
117,4784
65,4785
12,4786
117,4786
126,4786
27,4787
65,4787
110,4787
117,4787
117,4788
117,4789
99,4790
117,4791
49,4792
108,4792
4,4793
53,4793
60,4793
69,4793
91,4793
100,4793
4,4794
53,4794
170,4794
182,4794
100,4795
12,4796
22,4796
53,4796
69,4796
74,4796
91,4796
95,4796
117,4796
126,4796
136,4796
163,4796
174,4796
182,4796
28,4797
78,4797
108,4797
115,4797
117,4797
175,4797
117,4798
11,4799
65,4800
27,4801
150,4801
117,4802
117,4803
53,4804
60,4804
74,4804
91,4804
100,4804
114,4804
136,4804
143,4804
170,4804
182,4804
4,4805
11,4805
19,4805
60,4805
114,4805
117,4805
120,4805
134,4805
165,4805
170,4805
175,4805
182,4805
72,4806
117,4806
19,4807
117,4807
130,4807
178,4807
11,4808
67,4808
73,4808
101,4808
130,4808
133,4808
134,4808
117,4809
4,4810
69,4810
117,4811
117,4812
12,4813
101,4813
12,4814
117,4815
130,4815
4,4816
12,4816
53,4816
74,4816
91,4816
126,4816
136,4816
178,4816
117,4817
1,4818
3,4818
6,4818
11,4818
12,4818
14,4818
19,4818
25,4818
27,4818
30,4818
33,4818
38,4818
39,4818
41,4818
46,4818
49,4818
59,4818
62,4818
65,4818
67,4818
73,4818
78,4818
81,4818
91,4818
94,4818
97,4818
101,4818
116,4818
117,4818
121,4818
125,4818
126,4818
127,4818
134,4818
143,4818
144,4818
146,4818
149,4818
156,4818
159,4818
167,4818
170,4818
175,4818
178,4818
11,4819
19,4819
36,4819
37,4819
48,4819
66,4819
90,4819
98,4819
130,4819
134,4819
12,4820
3,4821
11,4821
12,4821
14,4821
33,4821
94,4821
97,4821
117,4821
121,4821
130,4821
134,4821
141,4821
143,4821
144,4821
178,4821
91,4822
117,4823
117,4824
117,4825
114,4826
117,4826
143,4826
168,4826
36,4827
37,4827
39,4827
47,4827
62,4827
28,4828
65,4828
68,4828
117,4828
180,4828
12,4829
117,4829
173,4829
117,4830
66,4831
90,4831
117,4831
91,4832
143,4832
117,4833
117,4834
136,4834
165,4834
3,4835
33,4835
36,4835
37,4835
94,4835
97,4835
143,4835
144,4835
117,4836
117,4837
117,4838
117,4839
12,4840
15,4841
55,4841
73,4841
77,4841
164,4841
60,4842
61,4842
69,4842
74,4842
91,4842
114,4842
136,4842
143,4842
170,4842
182,4842
52,4843
115,4843
130,4843
117,4844
117,4845
19,4846
130,4846
178,4846
4,4847
8,4847
53,4847
60,4847
61,4847
69,4847
91,4847
114,4847
117,4847
143,4847
170,4847
182,4847
12,4848
117,4848
117,4849
117,4850
12,4851
101,4851
11,4852
49,4852
53,4852
65,4852
69,4852
74,4852
75,4852
81,4852
117,4852
120,4852
126,4852
134,4852
163,4852
170,4852
8,4853
53,4853
60,4853
91,4853
96,4853
136,4853
143,4853
165,4853
182,4853
72,4854
12,4855
25,4855
49,4855
65,4855
101,4855
117,4855
126,4855
159,4855
11,4856
12,4856
19,4856
29,4856
30,4856
49,4856
59,4856
65,4856
101,4856
116,4856
117,4856
126,4856
133,4856
134,4856
143,4856
153,4856
175,4856
19,4857
31,4857
4,4858
11,4858
12,4858
19,4858
25,4858
29,4858
30,4858
49,4858
53,4858
60,4858
61,4858
65,4858
69,4858
74,4858
91,4858
95,4858
110,4858
114,4858
116,4858
126,4858
134,4858
136,4858
143,4858
170,4858
175,4858
182,4858
11,4859
48,4859
49,4859
73,4859
104,4859
108,4859
117,4859
130,4859
99,4860
120,4861
117,4862
117,4863
2,4864
7,4864
36,4864
39,4864
45,4864
68,4864
115,4864
125,4864
127,4864
74,4865
91,4865
114,4865
136,4865
143,4865
170,4865
182,4865
117,4866
100,4867
117,4868
117,4869
117,4870
1,4871
3,4871
11,4871
12,4871
14,4871
19,4871
24,4871
27,4871
30,4871
33,4871
39,4871
46,4871
65,4871
67,4871
81,4871
94,4871
97,4871
101,4871
116,4871
117,4871
121,4871
125,4871
127,4871
134,4871
136,4871
143,4871
144,4871
156,4871
161,4871
165,4871
170,4871
178,4871
74,4872
91,4872
114,4872
136,4872
143,4872
170,4872
182,4872
117,4873
24,4874
117,4874
117,4875
1,4876
3,4876
11,4876
12,4876
14,4876
33,4876
67,4876
94,4876
97,4876
116,4876
117,4876
121,4876
125,4876
127,4876
134,4876
143,4876
144,4876
178,4876
4,4877
8,4877
19,4877
30,4877
49,4877
60,4877
65,4877
91,4877
114,4877
116,4877
117,4877
136,4877
143,4877
175,4877
182,4877
65,4878
80,4878
53,4879
95,4879
136,4879
117,4880
66,4881
90,4881
23,4882
27,4882
38,4882
150,4882
130,4883
3,4884
11,4884
12,4884
14,4884
15,4884
17,4884
19,4884
28,4884
33,4884
77,4884
79,4884
94,4884
97,4884
121,4884
130,4884
134,4884
144,4884
156,4884
164,4884
178,4884
4,4885
53,4885
74,4885
91,4885
136,4885
143,4885
170,4885
182,4885
11,4886
27,4886
65,4886
110,4886
134,4886
117,4887
117,4888
12,4889
117,4889
123,4889
6,4890
12,4890
19,4890
30,4890
38,4890
59,4890
78,4890
116,4890
117,4890
126,4890
134,4890
167,4890
175,4890
9,4891
23,4891
27,4891
150,4891
166,4891
96,4892
117,4892
117,4893
2,4894
11,4894
17,4894
19,4894
35,4894
36,4894
65,4894
67,4894
73,4894
76,4894
98,4894
103,4894
104,4894
130,4894
133,4894
155,4894
117,4895
12,4896
79,4896
53,4897
74,4897
117,4897
15,4898
65,4898
80,4898
110,4898
130,4898
134,4898
164,4898
117,4899
4,4900
53,4900
74,4900
91,4900
114,4900
117,4900
136,4900
143,4900
170,4900
182,4900
6,4901
117,4901
2,4902
5,4902
12,4902
19,4902
65,4902
66,4902
76,4902
79,4902
90,4902
106,4902
185,4902
117,4903
117,4904
117,4905
157,4906
8,4907
60,4907
61,4907
136,4907
143,4907
173,4907
117,4908
117,4909
1,4910
15,4910
17,4910
35,4910
39,4910
77,4910
79,4910
80,4910
97,4910
108,4910
119,4910
130,4910
156,4910
164,4910
117,4911
117,4912
11,4913
12,4913
19,4913
24,4913
28,4913
30,4913
36,4913
37,4913
48,4913
52,4913
63,4913
65,4913
67,4913
77,4913
80,4913
89,4913
104,4913
108,4913
